freq,unit,coicop,geo\TIME_PERIOD	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,CID_EA,TOT_X_NRG_FOOD,ES	: 	: 	: 	: 	: 	: 	1.3 	1.2 	0.6 	1.1 	1.4 	0.6 	0.5 	-0.5 	-0.2 	-0.2 	-0.3 	0.2 	-0.9 	-0.7 	-0.2 	0.2 	0.0 	0.0 	-0.2 	-0.9 	-0.2 	-0.8 	0.0 
A,CID_EA,TOT_X_NRG_FOOD,EU27_2020	: 	: 	: 	: 	: 	: 	0.3 	0.1 	0.1 	0.1 	0.0 	0.1 	0.2 	0.2 	0.1 	0.0 	0.1 	0.0 	0.0 	0.0 	-0.1 	0.0 	0.0 	0.1 	0.4 	0.3 	0.8 	0.7 	0.3 
A,CID_EA,TOT_X_NRG_FOOD,FI	: 	: 	: 	: 	: 	: 	0.0 	-0.7 	-1.2 	-0.9 	-0.7 	-0.4 	-0.1 	0.8 	0.7 	0.4 	0.6 	0.7 	0.8 	-0.3 	0.3 	-0.4 	-0.7 	-0.3 	-0.2 	-0.3 	-0.4 	-0.9 	-0.7 
A,CID_EA,TOT_X_NRG_FOOD,FR	: 	: 	: 	: 	: 	: 	-0.4 	0.0 	0.0 	0.0 	0.0 	-0.3 	-0.1 	0.0 	0.0 	-0.3 	-0.1 	-0.4 	0.2 	-0.4 	-0.2 	-0.5 	-0.1 	-0.4 	-0.1 	-0.2 	-0.5 	-1.0 	-0.5 
A,CID_EA,TOT_X_NRG_FOOD,HR	: 	: 	: 	: 	: 	: 	1.2 	0.2 	-0.3 	0.2 	1.7 	1.1 	1.6 	1.2 	-0.6 	-1.5 	-0.4 	-0.2 	-0.3 	-0.2 	-0.6 	0.0 	0.0 	-0.3 	-0.3 	-0.1 	3.6 	3.9 	1.9 
A,CID_EA,TOT_X_NRG_FOOD,HU	: 	: 	: 	: 	: 	: 	3.2 	3.0 	3.9 	1.9 	0.5 	3.5 	1.4 	2.6 	2.0 	0.4 	2.0 	1.2 	0.6 	0.6 	0.7 	0.4 	0.6 	1.8 	2.1 	2.0 	6.7 	9.1 	3.1 
A,CID_EA,TOT_X_NRG_FOOD,IE	: 	: 	: 	: 	: 	: 	2.8 	2.1 	0.2 	0.4 	1.0 	0.4 	-0.3 	-2.7 	-3.3 	-1.6 	-0.8 	-1.0 	-0.1 	0.5 	-0.2 	-0.8 	-0.7 	-0.1 	-0.8 	0.3 	0.6 	-0.5 	-0.6 
A,CID_EA,TOT_X_NRG_FOOD,IT	: 	: 	: 	: 	: 	: 	0.5 	0.8 	0.3 	0.5 	0.2 	-0.1 	0.4 	0.2 	0.7 	0.6 	0.5 	0.2 	-0.1 	-0.3 	-0.3 	-0.2 	-0.4 	-0.5 	-0.2 	-0.7 	-0.7 	-0.4 	-0.6 
A,CID_EA,TOT_X_NRG_FOOD,LT	: 	: 	: 	: 	: 	: 	-2.0 	-2.5 	-2.1 	-0.2 	0.8 	1.1 	4.7 	1.4 	-3.2 	-1.1 	0.5 	0.3 	-0.1 	0.8 	0.9 	1.6 	0.9 	1.3 	1.9 	2.0 	6.5 	4.6 	0.4 
A,CID_EA,TOT_X_NRG_FOOD,LU	: 	: 	: 	: 	: 	: 	-0.2 	0.3 	-0.1 	0.2 	0.7 	0.2 	0.1 	0.6 	0.5 	1.0 	0.6 	0.9 	0.5 	0.6 	0.2 	0.4 	-0.1 	0.8 	0.5 	0.1 	0.3 	-1.1 	-0.3 
A,CID_EA,TOT_X_NRG_FOOD,LV	: 	: 	: 	: 	: 	: 	-1.0 	1.2 	2.9 	3.4 	2.8 	6.2 	7.1 	1.0 	-5.0 	-1.5 	-1.2 	-1.2 	0.9 	0.4 	0.3 	0.7 	0.9 	1.2 	0.2 	0.4 	3.6 	3.5 	0.9 
A,CID_EA,TOT_X_NRG_FOOD,MT	: 	: 	: 	: 	: 	: 	-0.2 	0.1 	0.7 	0.5 	0.4 	-1.5 	1.5 	-0.5 	-0.2 	-0.3 	0.9 	-1.0 	0.7 	0.4 	0.2 	-0.1 	0.7 	0.1 	-0.1 	-0.7 	1.8 	0.0 	-0.7 
A,CID_EA,TOT_X_NRG_FOOD,NL	: 	: 	: 	: 	: 	: 	1.6 	0.3 	-0.4 	-0.7 	-0.6 	-0.6 	-0.7 	-0.1 	0.1 	0.3 	0.7 	1.5 	-0.2 	-0.1 	-0.2 	-0.3 	0.0 	0.8 	1.2 	0.3 	0.8 	1.4 	0.3 
A,CID_EA,TOT_X_NRG_FOOD,PL	: 	: 	: 	: 	: 	: 	0.3 	-0.8 	0.1 	-0.5 	-1.0 	-0.6 	0.3 	1.0 	0.3 	0.7 	0.7 	-0.4 	-0.6 	-0.6 	-0.7 	-0.3 	-0.8 	0.9 	3.6 	3.3 	5.8 	4.3 	1.1 
A,CID_EA,TOT_X_NRG_FOOD,PT	: 	: 	: 	: 	: 	: 	2.3 	1.5 	0.7 	0.4 	0.7 	0.3 	-0.2 	-0.9 	-0.7 	0.6 	-0.4 	-1.0 	-0.6 	-0.5 	0.0 	0.2 	-0.2 	-0.6 	-0.9 	-1.2 	1.0 	0.4 	-0.1 
A,CID_EA,TOT_X_NRG_FOOD,RO	: 	: 	: 	: 	: 	: 	18.9 	11.4 	8.3 	5.9 	3.7 	1.9 	3.4 	4.6 	2.8 	2.0 	1.7 	1.2 	1.5 	0.5 	-0.8 	-0.8 	1.1 	1.9 	1.8 	1.2 	2.0 	4.7 	5.5 
A,CID_EA,TOT_X_NRG_FOOD,SE	: 	: 	: 	: 	: 	: 	-0.7 	-0.5 	-1.0 	-1.0 	-0.8 	-0.4 	-0.6 	0.8 	0.5 	-0.6 	-0.9 	-0.7 	-0.4 	-0.1 	0.3 	0.4 	0.0 	0.2 	0.7 	0.3 	0.8 	1.6 	0.4 
A,CID_EA,TOT_X_NRG_FOOD,SI	: 	: 	: 	: 	: 	: 	5.2 	4.2 	2.1 	0.1 	-0.1 	0.8 	2.0 	0.3 	-1.4 	-1.8 	-0.8 	-0.2 	-0.2 	-0.8 	-0.1 	-0.3 	0.0 	0.8 	0.1 	-0.6 	1.9 	1.7 	0.0 
A,CID_EA,TOT_X_NRG_FOOD,SK	: 	: 	: 	: 	: 	: 	1.9 	5.2 	4.3 	1.4 	0.9 	-0.7 	1.0 	0.4 	-0.6 	0.5 	1.4 	0.3 	-0.3 	-0.6 	0.0 	0.4 	1.0 	1.0 	1.7 	1.9 	4.3 	4.5 	1.4 
A,INX_A_AVG,AP,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.00 d	100.09 d	100.26 d	100.93 d	101.48 d	102.06 d
A,INX_A_AVG,AP,AT	: 	: 	: 	: 	: 	: 	73.64 	75.24 	77.05 	79.55 	81.52 	83.41 	85.69 	87.04 	88.24 	90.33 	92.77 	95.72 	98.09 	100.00 	102.26 	104.37 b	107.28 	109.62 	112.02 	114.04 	117.97 	124.33 	130.90 
A,INX_A_AVG,AP,BE	: 	: 	: 	: 	: 	: 	80.83 	81.06 	82.04 	83.34 	85.16 	85.76 	86.54 	88.59 	89.27 	90.99 	93.25 	94.87 	96.81 	100.00 	102.26 	104.60 b	106.69 	108.52 	109.92 	110.73 	113.74 	120.03 	124.18 
A,INX_A_AVG,AP,BG	: 	: 	: 	: 	: 	: 	52.86 	58.91 	63.07 	67.86 	71.79 	75.91 	83.99 	90.01 	93.34 	95.79 	100.51 	99.45 	98.49 	100.00 	100.15 	101.77 b	104.01 	106.71 	108.55 	111.16 	118.04 	126.17 	131.74 
A,INX_A_AVG,AP,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.00 	99.77 	: 	: 	99.82 	99.14 	99.07 	100.09 	102.78 	103.97 
A,INX_A_AVG,AP,CY	: 	: 	: 	: 	: 	: 	78.57 	82.27 	79.70 	82.30 	86.68 	88.31 	96.86 	93.30 	100.52 	105.26 	115.22 	110.85 	106.77 	100.00 	95.67 	99.09 b	102.55 	105.47 	104.11 	108.01 	120.29 	125.15 	126.35 
A,INX_A_AVG,AP,CZ	: 	: 	: 	: 	: 	: 	56.0 	57.1 	59.7 	61.9 	64.3 	67.4 	76.5 	81.8 	86.0 	88.4 	95.7 	99.1 	99.5 	100.0 	101.5 	102.6 b	104.1 	108.0 	111.9 	112.7 	126.2 	159.6 	172.5 
A,INX_A_AVG,AP,DE	: 	: 	: 	: 	: 	: 	79.1 	80.5 	85.2 	86.8 	87.8 	90.8 	92.5 	93.6 	94.5 	95.8 	97.0 	97.0 	98.5 	100.0 b	101.7 	102.0 b	103.4 	105.0 	106.6 	108.9 	109.0 	118.1 	121.0 
A,INX_A_AVG,AP,DK	: 	: 	: 	: 	: 	: 	73.1 	75.8 	78.3 	80.2 	81.5 	82.7 	84.8 	87.8 	90.3 	92.9 	94.7 	96.6 	98.4 	100.0 	101.4 	103.2 b	104.5 	105.9 	107.8 	109.3 	112.1 	115.7 	118.9 
A,INX_A_AVG,AP,EA	: 	: 	: 	: 	: 	: 	73.00 	74.83 	77.72 	79.36 	81.28 	83.06 	85.36 	86.88 	88.39 	91.62 	95.09 	97.17 	99.03 	100.00 	100.31 	101.33 b	103.48 	105.49 	106.07 	109.37 	117.95 	123.75 	127.87 
A,INX_A_AVG,AP,EA19	: 	: 	: 	: 	: 	: 	72.43 	74.34 	77.28 	78.98 	80.99 	82.80 	85.22 	86.85 	88.40 	91.63 	95.13 	97.19 	99.03 	100.00 	100.31 	101.33 b	103.48 	105.49 	106.07 	109.37 	117.95 	123.75 	127.87 
A,INX_A_AVG,AP,EA20	: 	: 	: 	: 	: 	: 	72.34 	74.26 	77.19 	78.89 	80.91 	82.72 	85.15 	86.82 	88.39 	91.60 	95.12 	97.20 	99.03 	100.00 	100.30 	101.31 b	103.46 	105.47 	106.05 	109.34 	117.89 	123.68 	127.80 
A,INX_A_AVG,AP,EE	: 	: 	: 	: 	: 	: 	46.21 	47.57 	49.22 	52.16 	55.32 	60.42 	73.64 	80.47 	85.00 	88.77 	98.27 	106.00 	102.88 	100.00 	97.02 	97.65 b	101.53 	102.86 	97.62 	115.81 	186.13 	205.59 	216.46 
A,INX_A_AVG,AP,EEA	: 	: 	: 	: 	: 	: 	67.94 	69.70 	72.47 	74.54 	77.38 	79.64 	83.15 	85.78 	87.52 	91.13 	94.93 	97.34 	99.16 	100.00 	100.40 	101.66 b	104.02 	106.22 	107.24 	110.82 	119.66 	126.80 	: 
A,INX_A_AVG,AP,EL	: 	: 	: 	: 	: 	: 	71.91 	73.63 	74.93 	77.50 	80.08 	82.64 	84.72 	87.91 	90.97 	93.40 	94.49 	95.91 	98.64 	100.00 	101.22 	100.47 b	100.68 	101.11 	99.52 	100.25 	116.28 	112.35 	114.28 
A,INX_A_AVG,AP,ES	: 	: 	: 	: 	: 	: 	68.40 	68.95 	69.61 	70.88 	74.39 	75.40 	78.95 	80.61 	82.40 	88.28 	95.33 	99.58 	101.95 	100.00 	97.93 	99.58 b	100.98 	100.93 	99.83 	101.01 	104.83 	101.74 	104.05 
A,INX_A_AVG,AP,EU	: 	: 	: 	: 	: 	: 	67.95 	69.64 	72.43 	74.51 	77.30 	79.62 	83.12 	85.76 	87.42 	91.07 	94.96 	97.33 	99.17 	100.00 	100.30 	101.50 b	103.74 	105.92 	107.05 	110.38 	119.10 	126.29 	131.06 
A,INX_A_AVG,AP,EU27_2020	: 	: 	: 	: 	: 	: 	68.86 	71.10 	74.19 	76.27 	78.65 	80.87 	83.95 	86.38 	88.35 	91.73 	95.45 	97.44 	99.03 	100.00 	100.42 	101.47 b	103.50 	105.51 	106.73 	110.05 	118.75 	125.92 	130.67 
A,INX_A_AVG,AP,EU28	: 	: 	: 	: 	: 	: 	66.72 	68.84 	71.88 	74.18 	77.15 	79.55 	83.05 	85.72 	87.40 	91.02 	94.94 	97.32 	99.17 	100.00 	100.30 	101.50 b	103.74 	105.92 	: 	: 	: 	: 	: 
A,INX_A_AVG,AP,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	105.57 b	106.29 	109.40 	110.72 	112.75 	128.15 	134.33 	131.14 
A,INX_A_AVG,AP,FR	: 	: 	: 	: 	: 	: 	67.03 	69.97 	73.88 	75.71 	78.37 	80.25 	83.18 	84.68 	87.14 	90.58 	93.49 	96.34 	98.85 	100.00 	100.07 	101.49 b	105.12 	107.86 	110.46 	114.62 	121.54 	129.53 	139.28 
A,INX_A_AVG,AP,HR	: 	: 	: 	: 	: 	: 	60.07 	63.22 	65.07 	66.95 	71.12 	72.81 	76.89 	83.25 	86.86 	88.11 	94.83 	98.02 	99.65 	100.00 	98.97 	98.63 b	99.81 	101.22 	101.28 	103.21 	107.49 	112.20 	116.12 
A,INX_A_AVG,AP,HU	: 	: 	: 	: 	: 	: 	49.34 	53.16 	59.82 	64.82 	69.06 	82.15 	90.43 	96.88 	103.35 	108.47 	113.98 	107.93 	100.77 	100.00 	100.28 	100.57 b	100.88 	101.90 	102.19 	103.12 	115.32 	128.38 	130.63 
A,INX_A_AVG,AP,IE	: 	: 	: 	: 	: 	: 	47.3 	52.5 	55.9 	61.5 	66.5 	71.9 	74.9 	78.0 	75.9 	80.7 	86.6 	89.4 	90.5 	100.0 	98.1 	96.7 b	97.6 	97.9 	99.9 	102.4 	108.3 	107.8 	106.8 
A,INX_A_AVG,AP,IT	: 	: 	: 	: 	: 	: 	76.5 	78.1 	77.5 	78.7 	80.7 	80.4 	83.0 	83.8 	84.2 	89.4 	96.8 	99.8 	100.3 	100.0 	98.6 	100.2 b	102.3 	104.1 	100.5 	107.5 	129.9 	132.6 	131.2 
A,INX_A_AVG,AP,LT	: 	: 	: 	: 	: 	: 	54.00 	54.19 	53.13 	55.37 	58.83 	64.52 	75.51 	87.47 	92.17 	96.35 	102.62 	103.94 	101.86 	100.00 	99.01 	98.19 b	98.20 	101.00 	101.28 	107.77 	140.33 	148.50 	145.57 
A,INX_A_AVG,AP,LU	: 	: 	: 	: 	: 	: 	65.44 	68.17 	70.43 	73.00 	76.68 	81.03 	82.83 	83.10 	85.85 	91.18 	93.51 	98.04 	99.11 	100.00 	100.99 	101.74 b	99.78 	102.08 	100.78 	101.48 	103.46 	101.95 	106.02 
A,INX_A_AVG,AP,LV	: 	: 	: 	: 	: 	: 	37.37 	38.72 	41.31 	43.41 	48.55 	56.60 	74.60 	87.76 	89.62 	96.12 	103.22 	101.69 	100.69 	100.00 	95.58 	97.03 b	99.39 	101.91 	100.46 	104.16 	136.45 	157.14 	145.74 
A,INX_A_AVG,AP,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	101.58 b	103.84 d	102.39 d	101.75 d	102.48 d	103.93 d	105.89 d	109.65 d
A,INX_A_AVG,AP,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	101.48 d	103.50 d	112.93 d	121.56 d	123.99 d
A,INX_A_AVG,AP,MT	: 	: 	: 	: 	: 	: 	55.32 	56.36 	58.86 	66.96 	76.23 	73.36 	81.94 	85.55 	96.14 	104.95 	110.20 	110.32 	104.49 	100.00 	97.45 	98.19 b	98.65 	99.48 	99.95 	99.04 	99.39 	98.12 	98.84 
A,INX_A_AVG,AP,NL	: 	: 	: 	: 	: 	: 	74.26 	76.70 	79.90 	82.15 	83.32 	84.22 	83.31 	85.48 	86.33 	88.07 	91.03 	94.94 	97.78 	100.00 	98.90 	99.33 b	101.43 	104.65 	103.71 	108.42 	137.23 	127.52 	130.63 
A,INX_A_AVG,AP,NO	: 	: 	: 	: 	: 	: 	65.9 	74.1 	74.8 	76.1 	83.0 	79.3 	84.3 	86.6 	93.9 	95.5 	92.7 	98.3 	98.7 	100.0 	107.6 	112.0 b	122.8 	126.5 	119.0 	142.1 	155.0 	152.9 	150.6 
A,INX_A_AVG,AP,PL	: 	: 	: 	: 	: 	: 	62.0 	64.1 	65.6 	67.5 	70.8 	73.4 	78.1 	83.4 	86.7 	91.2 	96.1 	97.8 	99.0 	100.0 	102.1 	103.3 b	104.1 	105.3 	112.4 	119.0 	131.8 	148.5 	157.2 
A,INX_A_AVG,AP,PT	: 	: 	: 	: 	: 	: 	68.39 	70.70 	72.52 	74.32 	76.34 	79.86 	82.30 	84.27 	85.76 	90.39 	94.23 	96.57 	98.80 	100.00 	100.80 	102.38 b	103.73 	103.93 	103.44 	104.41 	106.15 	110.31 	115.21 
A,INX_A_AVG,AP,RO	: 	: 	: 	: 	: 	: 	37.04 	42.77 	49.86 	56.71 	62.74 	66.06 	71.21 	76.25 	80.40 	86.51 	91.08 	96.54 	98.45 	100.00 	97.47 	97.92 b	102.08 	104.78 	106.05 	107.91 	115.75 	120.29 	126.61 
A,INX_A_AVG,AP,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	101.2 d	103.0 b	104.4 d	106.3 d	108.6 d	110.5 d	115.5 d	124.6 d	131.2 d
A,INX_A_AVG,AP,SE	: 	: 	: 	: 	: 	: 	75.36 	77.01 	80.24 	82.12 	83.00 	84.78 	86.68 	89.15 	90.65 	92.47 	95.28 	97.20 	98.78 	100.00 	100.90 	102.98 b	104.21 	106.27 	108.77 	110.60 	113.28 	118.46 	125.47 
A,INX_A_AVG,AP,SI	: 	: 	: 	: 	: 	: 	64.07 	67.81 	71.84 	74.25 	75.94 	78.05 	80.48 	81.88 	86.56 	87.62 	91.36 	96.12 	99.17 	100.00 	101.25 	104.39 b	107.05 	112.68 	115.74 	119.85 	127.78 	138.39 	141.66 
A,INX_A_AVG,AP,SK	: 	: 	: 	: 	: 	: 	46.07 	56.09 	65.32 	71.24 	79.73 	81.46 	85.76 	90.16 	90.00 	96.19 	102.37 	102.96 	101.97 	100.00 	98.78 	96.77 b	98.02 	101.80 	104.93 	104.00 	116.69 	128.66 	132.22 
A,INX_A_AVG,AP,UK	: 	: 	: 	: 	: 	: 	44.1 	45.0 	47.5 	52.1 	61.1 	65.4 	73.7 	79.4 	78.3 	84.4 	90.4 	96.5 	100.9 	100.0 	98.7 	101.9 b	106.9 	111.2 	: 	: 	: 	: 	: 
A,INX_A_AVG,APF,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.10 d	100.49 d	100.64 d	101.45 d	102.03 d	102.58 d
A,INX_A_AVG,APF,AT	: 	: 	: 	: 	: 	: 	71.72 	73.73 	76.15 	77.90 	80.60 	83.05 	85.27 	86.08 	87.22 	89.52 	92.37 	95.58 	97.92 	100.00 	102.05 	104.07 b	107.03 	109.41 	112.00 	114.30 	117.25 	123.33 	129.76 
A,INX_A_AVG,APF,BE	: 	: 	: 	: 	: 	: 	74.88 	70.64 	71.49 	72.54 	73.25 	74.28 	75.39 	77.33 	79.35 	80.99 	84.64 	85.87 	91.15 	100.00 	109.40 	110.83 b	112.67 	113.90 	115.75 	117.21 	123.05 	128.03 	133.85 
A,INX_A_AVG,APF,BG	: 	: 	: 	: 	: 	: 	41.61 	47.22 	51.50 	55.55 	60.59 	66.40 	78.01 	85.11 	91.25 	94.06 	98.23 	98.86 	99.42 	100.00 	103.21 	103.78 b	104.08 	104.34 	105.15 	105.52 	103.96 	103.24 	106.66 
A,INX_A_AVG,APF,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.00 	100.61 	: 	: 	100.46 	100.41 	100.82 	104.99 	114.61 	119.40 
A,INX_A_AVG,APF,CY	: 	: 	: 	: 	: 	: 	100.35 	106.48 	90.94 	93.08 	94.28 	95.36 	96.16 	95.67 	95.71 	94.87 	94.42 	94.53 	99.18 	100.00 	99.93 	99.46 b	101.92 	101.27 	99.99 	98.60 	97.64 	96.79 	95.95 
A,INX_A_AVG,APF,CZ	: 	: 	: 	: 	: 	: 	51.2 	52.2 	57.0 	58.6 	61.1 	62.9 	85.2 	88.5 	91.4 	92.3 	95.7 	98.6 	99.4 	100.0 	102.2 	103.0 b	103.0 	103.0 	105.8 	106.5 	121.3 	157.9 	172.2 
A,INX_A_AVG,APF,DE	: 	: 	: 	: 	: 	: 	75.0 	76.2 	78.4 	80.4 	82.6 	84.4 	85.9 	87.8 	89.5 	91.4 	93.5 	96.3 	98.6 	100.0 b	101.6 	101.1 b	102.4 	104.1 	106.5 	110.3 	111.6 	118.1 	124.9 
A,INX_A_AVG,APF,DK	: 	: 	: 	: 	: 	: 	73.7 	76.0 	78.3 	80.4 	81.5 	82.3 	84.7 	87.7 	90.5 	92.9 	95.1 	97.2 	98.6 	100.0 	101.5 	103.2 b	104.5 	105.5 	106.8 	108.5 	111.4 	114.6 	117.1 
A,INX_A_AVG,APF,EA	: 	: 	: 	: 	: 	: 	66.29 	67.78 	69.36 	71.43 	74.53 	76.50 	79.27 	81.15 	83.58 	87.85 	91.97 	95.55 	98.72 	100.00 	101.18 	101.74 b	103.39 	104.75 	106.01 	108.31 	110.29 	114.82 	120.36 
A,INX_A_AVG,APF,EA19	: 	: 	: 	: 	: 	: 	66.17 	67.70 	69.30 	71.39 	74.49 	76.46 	79.25 	81.14 	83.57 	87.84 	91.97 	95.55 	98.72 	100.00 	101.18 	101.74 b	103.39 	104.75 	106.01 	108.31 	110.29 	114.83 	120.35 
A,INX_A_AVG,APF,EA20	: 	: 	: 	: 	: 	: 	66.17 	67.70 	69.30 	71.39 	74.51 	76.48 	79.28 	81.17 	83.61 	87.87 	91.99 	95.56 	98.73 	100.00 	101.18 	101.74 b	103.39 	104.75 	106.01 	108.30 	110.29 	114.83 	120.37 
A,INX_A_AVG,APF,EE	: 	: 	: 	: 	: 	: 	54.33 	56.29 	59.56 	61.30 	63.03 	62.27 	67.88 	85.49 	89.62 	92.98 	92.81 	91.80 	94.09 	100.00 	102.52 	103.28 b	103.28 	103.28 	104.18 	104.83 	107.01 	109.87 	113.69 
A,INX_A_AVG,APF,EEA	: 	: 	: 	: 	: 	: 	65.61 	67.12 	68.80 	71.10 	74.15 	76.88 	80.08 	82.45 	85.14 	89.18 	93.13 	96.25 	98.78 	100.00 	101.71 	102.68 b	104.43 	106.16 	108.24 	110.82 	114.36 	121.20 	: 
A,INX_A_AVG,APF,EL	: 	: 	: 	: 	: 	: 	66.91 	70.03 	72.74 	76.65 	80.06 	84.25 	86.84 	92.32 	98.00 	99.38 	98.95 	98.22 	99.61 	100.00 	102.22 	101.00 b	101.53 	103.07 	101.49 	99.10 	100.04 	106.81 	109.77 
A,INX_A_AVG,APF,ES	: 	: 	: 	: 	: 	: 	65.18 	66.24 	67.19 	69.35 	73.45 	74.33 	78.04 	79.67 	81.52 	87.65 	95.23 	99.75 	102.28 	100.00 	97.60 	99.25 b	100.65 	100.42 	99.15 	100.33 	104.27 	100.60 	102.82 
A,INX_A_AVG,APF,EU	: 	: 	: 	: 	: 	: 	65.54 	67.01 	68.70 	70.99 	74.09 	76.83 	80.04 	82.38 	85.07 	89.18 	93.17 	96.31 	98.82 	100.00 	101.68 	102.61 b	104.31 	105.98 	108.02 	110.62 	114.18 	121.09 	127.32 
A,INX_A_AVG,APF,EU27_2020	: 	: 	: 	: 	: 	: 	64.54 	66.53 	68.65 	70.98 	74.06 	76.78 	80.00 	82.34 	85.04 	89.15 	93.14 	96.30 	98.83 	100.00 	101.66 	102.41 b	104.01 	105.60 	107.66 	110.26 	113.80 	120.69 	126.89 
A,INX_A_AVG,APF,EU28	: 	: 	: 	: 	: 	: 	64.54 	66.53 	68.66 	71.00 	74.09 	76.82 	80.04 	82.38 	85.07 	89.17 	93.15 	96.30 	98.82 	100.00 	101.68 	102.61 b	104.31 	105.98 	: 	: 	: 	: 	: 
